awardYear,category,motivation,name,gender,birth date,birth_continent,birth_countryNow,death_date
2005,Physics,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",Theodor W. Hänsch,male,30.10.1941,Europe,Germany,
2005,Economic Sciences,for having enhanced our understanding of conflict and cooperation through game-theory analysis,Thomas C. Schelling,male,14.4.1921,North America,USA,13.12.2016
2005,Chemistry,for the development of the metathesis method in organic synthesis,Yves Chauvin,male,10.10.1930,Europe,Belgium,27.1.2015
2006,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Andrew Z. Fire,male,27.4.1959,North America,USA,
2006,Physiology or Medicine,for their discovery of RNA interference - gene silencing by double-stranded RNA,Craig C. Mello,male,19.10.1960,North America,USA,
2006,Economic Sciences,for his analysis of intertemporal tradeoffs in macroeconomic policy,Edmund S. Phelps,male,26.7.1933,North America,USA,
2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,George F. Smoot,male,20.2.1945,North America,USA,
2006,Peace,for their efforts to create economic and social development from below,Grameen Bank,,,,,
2006,Physics,for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation,John C. Mather,male,7.8.1946,North America,USA,
2006,Peace,for their efforts to create economic and social development from below,Muhammad Yunus,male,28.6.1940,Asia,Bangladesh,
2006,Literature,who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures,Orhan Pamuk,male,7.6.1952,Asia,Turkey,
2006,Chemistry,for his studies of the molecular basis of eukaryotic transcription,Roger D. Kornberg,male,24.4.1947,North America,USA,
2007,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",Al Gore,male,31.3.1948,North America,USA,
2007,Physics,for the discovery of Giant Magnetoresistance,Albert Fert,male,7.3.1938,Europe,France,
2007,Literature,"that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny",Doris Lessing,female,22.10.1919,Asia,Iran,17.11.2013
2007,Economic Sciences,for having laid the foundations of mechanism design theory,Eric S. Maskin,male,12.12.1950,North America,USA,
2007,Chemistry,for his studies of chemical processes on solid surfaces,Gerhard Ertl,male,10.10.1936,Europe,Germany,
2007,Peace,"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",Intergovernmental Panel on Climate Change,,,,,
2007,Economic Sciences,for having laid the foundations of mechanism design theory,Leonid Hurwicz,male,21.8.1917,Europe,Russia,24.6.2008
2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Mario R. Capecchi,male,6.10.1937,Europe,Italy,
2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Oliver Smithies,male,23.6.1925,Europe,United Kingdom,10.1.2017
2007,Physics,for the discovery of Giant Magnetoresistance,Peter Grünberg,male,18.5.1939,Europe,Czech Republic,9.4.2018
2007,Economic Sciences,for having laid the foundations of mechanism design theory,Roger B. Myerson,male,29.3.1951,North America,USA,
2007,Physiology or Medicine,for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Sir Martin J. Evans,male,1.1.1941,Europe,United Kingdom,
2008,Physiology or Medicine,for their discovery of human immunodeficiency virus,Françoise Barré-Sinoussi,female,30.7.1947,Europe,France,
2008,Physiology or Medicine,for his discovery of human papilloma viruses causing cervical cancer,Harald zur Hausen,male,11.3.1936,Europe,Germany,
2008,Literature,"author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization",Jean-Marie Gustave Le Clézio,male,13.4.1940,Europe,France,
2008,Physiology or Medicine,for their discovery of human immunodeficiency virus,Luc Montagnier,male,18.8.1932,Europe,France,
2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Makoto Kobayashi,male,7.4.1944,Asia,Japan,
2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP",Martin Chalfie,male,15.1.1947,North America,USA,
2008,Peace,"for his important efforts, on several continents and over more than three decades, to resolve international conflicts",Martti Ahtisaari,male,23.6.1937,Europe,Finland,
2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP",Osamu Shimomura,male,27.8.1928,Asia,Japan,19.10.2018
2008,Economic Sciences,for his analysis of trade patterns and location of economic activity,Paul Krugman,male,28.2.1953,North America,USA,
2008,Chemistry,"for the discovery and development of the green fluorescent protein, GFP",Roger Y. Tsien,male,1.2.1952,North America,USA,24.8.2016
2008,Physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature,Toshihide Maskawa,male,7.2.1940,Asia,Japan,
2008,Physics,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics,Yoichiro Nambu,male,18.1.1921,Asia,Japan,5.7.2015
2009,Chemistry,for studies of the structure and function of the ribosome,Ada E. Yonath,female,22.6.1939,Asia,Israel,
2009,Peace,for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples,Barack H. Obama,male,4.8.1961,North America,USA,
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Carol W. Greider,female,15.4.1961,North America,USA,
2009,Physics,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,Charles K. Kao,male,4.11.1933,Asia,China,23.9.2018
2009,Economic Sciences,"for her analysis of economic governance, especially the commons",Elinor Ostrom,female,7.8.1933,North America,USA,12.6.2012
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Elizabeth H. Blackburn,female,26.11.1948,Oceania,Australia,
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,George E. Smith,male,10.5.1930,North America,USA,
2009,Literature,"who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed",Herta Müller,female,17.8.1953,Europe,Romania,
2009,Physiology or Medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Jack W. Szostak,male,9.11.1952,Europe,United Kingdom,
2009,Economic Sciences,"for his analysis of economic governance, especially the boundaries of the firm",Oliver E. Williamson,male,27.9.1932,North America,USA,
2009,Chemistry,for studies of the structure and function of the ribosome,Thomas A. Steitz,male,23.8.1940,North America,USA,23.8.2018
2009,Chemistry,for studies of the structure and function of the ribosome,Venkatraman Ramakrishnan,male,0.0.1952,Asia,India,
2009,Physics,for the invention of an imaging semiconductor circuit - the CCD sensor,Willard S. Boyle,male,19.8.1924,North America,Canada,7.5.2011
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Akira Suzuki,male,12.9.1930,Asia,Japan,
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,Andre Geim,male,21.10.1958,Europe,Russia,
2010,Economic Sciences,for their analysis of markets with search frictions,Christopher A. Pissarides,male,20.2.1948,Europe,Cyprus,
2010,Economic Sciences,for their analysis of markets with search frictions,Dale T. Mortensen,male,2.2.1939,North America,USA,9.1.2014
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Ei-ichi Negishi,male,14.7.1935,Asia,China,
2010,Physics,for groundbreaking experiments regarding the two-dimensional material graphene,Konstantin Novoselov,male,23.8.1974,Europe,Russia,
2010,Peace,for his long and non-violent struggle for fundamental human rights in China,Liu Xiaobo,male,28.12.1955,Asia,China,13.7.2017
2010,Literature,"for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat",Mario Vargas Llosa,male,28.3.1936,South America,Peru,
2010,Economic Sciences,for their analysis of markets with search frictions,Peter A. Diamond,male,29.4.1940,North America,USA,
2010,Chemistry,for palladium-catalyzed cross couplings in organic synthesis,Richard F. Heck,male,15.8.1931,North America,USA,9.10.2015
2010,Physiology or Medicine,for the development of in vitro fertilization,Robert G. Edwards,male,27.9.1925,Europe,United Kingdom,10.4.2013
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Adam G. Riess,male,16.12.1969,North America,USA,
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Brian P. Schmidt,male,24.2.1967,North America,USA,
2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,Bruce A. Beutler,male,29.12.1957,North America,USA,
2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy,Christopher A. Sims,male,21.10.1942,North America,USA,
2011,Chemistry,for the discovery of quasicrystals,Dan Shechtman,male,24.1.1941,Asia,Israel,
2011,Peace,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,Ellen Johnson Sirleaf,female,29.10.1938,Africa,Liberia,
2011,Physiology or Medicine,for their discoveries concerning the activation of innate immunity,Jules A. Hoffmann,male,2.8.1941,Europe,Luxembourg,
2011,Peace,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,Leymah Gbowee,female,1.2.1972,Africa,Liberia,
2011,Physiology or Medicine,for his discovery of the dendritic cell and its role in adaptive immunity,Ralph M. Steinman,male,14.1.1943,North America,Canada,30.9.2011
2011,Physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,Saul Perlmutter,male,0.0.1959,North America,USA,
2011,Peace,for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work,Tawakkol Karman,female,7.2.1979,Asia,Yemen,
2011,Economic Sciences,for their empirical research on cause and effect in the macroeconomy,Thomas J. Sargent,male,19.7.1943,North America,USA,
2011,Literature,"because, through his condensed, translucent images, he gives us fresh access to reality",Tomas Tranströmer,male,15.4.1931,Europe,Sweden,26.3.2015
2012,Economic Sciences,for the theory of stable allocations and the practice of market design,Alvin E. Roth,male,18.12.1951,North America,USA,
2012,Chemistry,for studies of G-protein-coupled receptors,Brian Kobilka,male,30.5.1955,North America,USA,
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,David J. Wineland,male,24.2.1944,North America,USA,
2012,Peace,"for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe",European Union (EU),,,,,
2012,Economic Sciences,for the theory of stable allocations and the practice of market design,Lloyd S. Shapley,male,2.6.1923,North America,USA,12.3.2016
2012,Literature,"who with hallucinatory realism merges folk tales, history and the contemporary",Mo Yan,male,2.2.1955,Asia,China,
2012,Chemistry,for studies of G-protein-coupled receptors,Robert J. Lefkowitz,male,15.4.1943,North America,USA,
2012,Physics,for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems,Serge Haroche,male,11.9.1944,Africa,Morocco,
2012,Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Shinya Yamanaka,male,4.9.1962,Asia,Japan,
2012,Physiology or Medicine,for the discovery that mature cells can be reprogrammed to become pluripotent,Sir John B. Gurdon,male,2.10.1933,Europe,United Kingdom,
2013,Literature,master of the contemporary short story,Alice Munro,female,10.7.1931,North America,Canada,
2013,Chemistry,for the development of multiscale models for complex chemical systems,Arieh Warshel,male,20.11.1940,Asia,Israel,
2013,Economic Sciences,for their empirical analysis of asset prices,Eugene F. Fama,male,14.2.1939,North America,USA,
2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",François Englert,male,6.11.1932,Europe,Belgium,
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",James E. Rothman,male,3.11.1950,North America,USA,
2013,Economic Sciences,for their empirical analysis of asset prices,Lars Peter Hansen,male,26.10.1952,North America,USA,
2013,Chemistry,for the development of multiscale models for complex chemical systems,Martin Karplus,male,15.3.1930,Europe,Austria,
2013,Chemistry,for the development of multiscale models for complex chemical systems,Michael Levitt,male,9.5.1947,Africa,South Africa,
2013,Peace,for its extensive efforts to eliminate chemical weapons,Organisation for the Prohibition of Chemical Weapons,,,,,
2013,Physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider",Peter Higgs,male,29.5.1929,Europe,United Kingdom,
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Randy W. Schekman,male,30.12.1948,North America,USA,
2013,Economic Sciences,for their empirical analysis of asset prices,Robert J. Shiller,male,29.3.1946,North America,USA,
2013,Physiology or Medicine,"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Thomas C. Südhof,male,22.12.1955,Europe,Germany,
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,Edvard I. Moser,male,27.4.1962,Europe,Norway,
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Eric Betzig,male,13.1.1960,North America,USA,
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Hiroshi Amano,male,11.9.1960,Asia,Japan,
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Isamu Akasaki,male,30.1.1929,Asia,Japan,
2014,Economic Sciences,for his analysis of market power and regulation,Jean Tirole,male,9.8.1953,Europe,France,
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,John O'Keefe,male,18.11.1939,North America,USA,
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,Kailash Satyarthi,male,11.1.1954,Asia,India,
2014,Peace,for their struggle against the suppression of children and young people and for the right of all children to education,Malala Yousafzai,female,12.7.1997,Asia,Pakistan,
2014,Physiology or Medicine,for their discoveries of cells that constitute a positioning system in the brain,May-Britt Moser,female,4.1.1963,Europe,Norway,
2014,Literature,"for the art of memory with which he has evoked the most ungraspable human destinies and
 uncovered the life-world of the occupation",Patrick Modiano,male,30.7.1945,Europe,France,
2014,Physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources,Shuji Nakamura,male,22.5.1954,Asia,Japan,
2014,Chemistry,for the development of super-resolved fluorescence microscopy,Stefan W. Hell,male,23.12.1962,Europe,Romania,
2014,Chemistry,for the development of super-resolved fluorescence microscopy,William E. Moerner,male,24.6.1953,North America,USA,
2015,Economic Sciences,"for his analysis of consumption, poverty, and welfare",Angus Deaton,male,19.10.1945,Europe,Scotland,
2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Arthur B. McDonald,male,29.8.1943,North America,Canada,
2015,Chemistry,for mechanistic studies of DNA repair,Aziz Sancar,male,8.9.1946,Asia,Turkey,
2015,Peace,for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011,National Dialogue Quartet,,,,,
2015,Chemistry,for mechanistic studies of DNA repair,Paul Modrich,male,13.6.1946,North America,USA,
2015,Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Satoshi &#332;mura,male,12.7.1935,Asia,Japan,
2015,Literature,"for her polyphonic writings, a monument to suffering and courage in our time",Svetlana Alexievich,female,31.5.1948,Europe,Ukraine,
2015,Physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass",Takaaki Kajita,male,9.3.1959,Asia,Japan,
2015,Chemistry,for mechanistic studies of DNA repair,Tomas Lindahl,male,28.1.1938,Europe,Sweden,
2015,Physiology or Medicine,for her discoveries concerning a novel therapy against Malaria,Tu Youyou,female,30.12.1930,Asia,China,
2015,Physiology or Medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites,William C. Campbell,male,28.6.1930,Europe,Ireland,
2016,Economic Sciences,for their contributions to contract theory,Bengt Holmström,male,18.4.1949,Europe,Finland,
2016,Chemistry,for the design and synthesis of molecular machines,Bernard L. Feringa,male,18.5.1951,Europe,the Netherlands,
2016,Literature,for having created new poetic expressions within the great American song tradition,Bob Dylan,male,24.5.1941,North America,USA,
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,David J. Thouless,male,21.9.1934,Europe,United Kingdom,6.4.2019
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,F. Duncan M. Haldane,male,14.9.1951,Europe,United Kingdom,
2016,Physics,for theoretical discoveries of topological phase transitions and topological phases of matter,J. Michael Kosterlitz,male,22.6.1943,Europe,United Kingdom,
2016,Chemistry,for the design and synthesis of molecular machines,Jean-Pierre Sauvage,male,21.10.1944,Europe,France,
2016,Peace,for his resolute efforts to bring the country's more than 50-year-long civil war to an end,Juan Manuel Santos,male,10.8.1951,South America,Colombia,
2016,Economic Sciences,for their contributions to contract theory,Oliver Hart,male,9.10.1948,Europe,United Kingdom,
2016,Chemistry,for the design and synthesis of molecular machines,Sir J. Fraser Stoddart,male,24.5.1942,Europe,United Kingdom,
2016,Physiology or Medicine,for his discoveries of mechanisms for autophagy,Yoshinori Ohsumi,male,9.2.1945,Asia,Japan,
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Barry C. Barish,male,27.1.1936,North America,USA,
2017,Peace,for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons,International Campaign to Abolish Nuclear Weapons (ICAN),,,,,
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Jacques Dubochet,male,8.6.1942,Europe,Switzerland,
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Jeffrey C. Hall,male,3.5.1945,North America,USA,
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Joachim Frank,male,12.9.1940,Europe,Germany,
2017,Literature,"who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world",Kazuo Ishiguro,male,8.11.1954,Asia,Japan,
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Kip S. Thorne,male,1.6.1940,North America,USA,
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael Rosbash,male,7.3.1944,North America,USA,
2017,Physiology or Medicine,for their discoveries of molecular mechanisms controlling the circadian rhythm,Michael W. Young,male,28.3.1949,North America,USA,
2017,Physics,for decisive contributions to the LIGO detector and the observation of gravitational waves,Rainer Weiss,male,29.9.1932,Europe,Germany,
2017,Economic Sciences,for his contributions to behavioural economics,Richard H. Thaler,male,12.9.1945,North America,USA,
2017,Chemistry,for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution,Richard Henderson,male,19.7.1945,Europe,Scotland,
2018,Physics,for the optical tweezers and their application to biological systems,Arthur Ashkin,male,2.9.1922,North America,USA,
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Denis Mukwege,male,1.3.1955,Africa,Democratic Republic of the Congo,
2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses",Donna Strickland,female,27.5.1959,North America,Canada,
2018,Chemistry,for the directed evolution of enzymes,Frances H. Arnold,female,25.7.1956,North America,USA,
2018,Chemistry,for the phage display of peptides and antibodies,George P. Smith,male,10.3.1941,North America,USA,
2018,Physics,"for their method of generating high-intensity, ultra-short optical pulses",Gérard Mourou,male,22.6.1944,Europe,France,
2018,Physiology or Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,James P. Allison,male,7.8.1948,North America,USA,
2018,Peace,for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Nadia Murad,female,0.0.1993,Asia,Iraq,
2018,Literature,for a narrative imagination that with encyclopedic passion represents the crossing of boundaries as a form of life,Olga Tokarczuk,female,29.1.1962,Europe,Poland,
2018,Economic Sciences,for integrating technological innovations into long-run macroeconomic analysis,Paul M. Romer,male,0.0.1955,North America,USA,
2018,Chemistry,for the phage display of peptides and antibodies,Sir Gregory P. Winter,male,14.4.1951,Europe,United Kingdom,
2018,Physiology or Medicine,for their discovery of cancer therapy by inhibition of negative immune regulation,Tasuku Honjo,male,27.1.1942,Asia,Japan,
2018,Economic Sciences,for integrating climate change into long-run macroeconomic analysis,William D. Nordhaus,male,31.5.1941,North America,USA,
2019,Economic Sciences,for their experimental approach to alleviating global poverty,Abhijit Banerjee,male,21.2.1961,Asia,India,
2019,Peace,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",Abiy Ahmed Ali,male,15.8.1976,Africa,Ethiopia,
2019,Chemistry,for the development of lithium-ion batteries,Akira Yoshino,male,30.1.1948,Asia,Japan,
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,Didier Queloz,male,23.2.1966,Europe,Switzerland,
2019,Economic Sciences,for their experimental approach to alleviating global poverty,Esther Duflo,female,25.10.1972,Europe,France,
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,Gregg L. Semenza,male,12.7.1956,North America,USA,
2019,Physics,for theoretical discoveries in physical cosmology,James Peebles,male,25.4.1935,North America,Canada,
2019,Chemistry,for the development of lithium-ion batteries,John B. Goodenough,male,25.7.1922,Europe,Germany,
2019,Chemistry,for the development of lithium-ion batteries,M. Stanley Whittingham,male,22.12.1941,Europe,United Kingdom,
2019,Economic Sciences,for their experimental approach to alleviating global poverty,Michael Kremer,male,12.11.1964,North America,USA,
2019,Physics,for the discovery of an exoplanet orbiting a solar-type star,Michel Mayor,male,12.1.1942,Europe,Switzerland,
2019,Literature,for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,Peter Handke,male,6.12.1942,Europe,Austria,
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,Sir Peter J. Ratcliffe,male,14.5.1954,Europe,United Kingdom,
2019,Physiology or Medicine,for their discoveries of how cells sense and adapt to oxygen availability,William G. Kaelin Jr,male,23.11.1957,North America,USA,
